id;task_version_id;task_detail;task_name;data_type;task_status_enum;create_time;schedule_config_id
1;77763;open-source Avon;rich;48132;PAUSED;2020-09-28;1
2;17396;methodologies;deposit;65370;DONE;2020-09-28;2
3;11500;Turnpike Stream circuit;transmit Usability Wisconsin;69872;DONE;2020-09-28;3
4;97652;hacking;back up Pa'anga copying;46770;PAUSED;2020-09-28;4
5;506;Reduced;Applications;9752;DONE;2020-09-28;5
6;45984;programming;Agent;44063;PAUSED;2020-09-28;6
7;77196;matrix Valley mint green;Gibraltar Pound Personal Loan Account index;85204;DONE;2020-09-28;7
8;17553;withdrawal Checking Account;transparent Organized Rubber;77602;DONE;2020-09-28;8
9;17207;Bike Shirt;navigate;85725;PAUSED;2020-09-28;9
10;97663;toolset collaboration Egyptian Pound;Cambridgeshire;84304;DONE;2020-09-28;10
